,text,label,text_token,text_string,text_string_fdist,text_string_lem
42,nice headset priced right,1,"['nice', 'headset', 'priced', 'right']",nice headset priced right,nice headset priced right,nice headset priced right
43,i only hear garbage for audio,0,"['hear', 'garbage', 'audio']",hear garbage audio,hear garbage audio,hear garbage audio
44,excellent bluetooth headset,1,"['excellent', 'bluetooth', 'headset']",excellent bluetooth headset,excellent bluetooth headset,excellent bluetooth headset
45,it has all the features i want,1,"['features', 'want']",features want,features want,features want
46,who in their right mind is gonna buy this battery,0,"['right', 'mind', 'gonna', 'buy', 'battery']",right mind gonna buy battery,right mind buy battery,right mind buy battery
47,after arguing with verizon regarding the dropped calls we returned the phones after two days,0,"['arguing', 'verizon', 'regarding', 'dropped', 'calls', 'returned', 'phones', 'two', 'days']",arguing verizon regarding dropped calls returned phones two days,arguing verizon regarding dropped calls returned phones two days,arguing verizon regarding dropped calls returned phones two days
48,this case seems well made,1,"['case', 'seems', 'well', 'made']",case seems well made,case seems well made,case seems well made
49,disappointed with battery,0,"['disappointed', 'battery']",disappointed battery,disappointed battery,disappointed battery
50,not loud enough and doesn't turn on like it should,0,"['loud', 'enough', 'turn', 'like']",loud enough turn like,loud enough turn like,loud enough turn like
51,good protection and does not make phone too bulky,1,"['good', 'protection', 'make', 'phone', 'bulky']",good protection make phone bulky,good protection make phone bulky,good protection make phone bulky
52,a usable keyboard actually turns a pda into a real-world useful machine instead of just a neat gadget,1,"['usable', 'keyboard', 'actually', 'turns', 'pda', 'real', 'world', 'useful', 'machine', 'instead', 'neat', 'gadget']",usable keyboard actually turns pda real world useful machine instead neat gadget,usable keyboard actually turns pda real world useful machine instead neat gadget,usable keyboard actually turns pda real world useful machine instead neat gadget
53,this phone is pretty sturdy and i've never had any large problems with it,1,"['phone', 'pretty', 'sturdy', 'never', 'large', 'problems']",phone pretty sturdy never large problems,phone pretty sturdy never large problems,phone pretty sturdy never large problems
54,i love this thing,1,"['love', 'thing']",love thing,love thing,love thing
55,everything about it is fine and reasonable for the price ie,1,"['everything', 'fine', 'reasonable', 'price', 'ie']",everything fine reasonable price,everything fine reasonable price,everything fine reasonable price
56,very disappointed,0,['disappointed'],disappointed,disappointed,disappointed
57,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,1,"['even', 'dropped', 'phone', 'stream', 'submerged', '15', 'seconds', 'still', 'works', 'great']",even dropped phone stream submerged seconds still works great,even dropped phone stream submerged seconds still works great,even dropped phone stream submerged seconds still works great
58,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end,1,"['happy', '510', 'complaints', 'one', 'regarding', 'sound', 'quality', 'end']",happy 510 complaints one regarding sound quality end,happy 510 complaints one regarding sound quality end,happy 510 complaints one regarding sound quality end
59,the buttons for on and off are bad,0,"['buttons', 'bad']",buttons bad,buttons bad,buttons bad
60,essentially you can forget microsoft's tech support,0,"['essentially', 'forget', 'microsoft', 'tech', 'support']",essentially forget microsoft tech support,essentially forget microsoft tech support,essentially forget microsoft tech support
61,i really recommend this faceplates since it looks very nice elegant and cool,1,"['really', 'recommend', 'faceplates', 'since', 'looks', 'nice', 'elegant', 'cool']",really recommend faceplates since looks nice elegant cool,really recommend faceplates since looks nice elegant cool,really recommend faceplates since looks nice elegant cool
62,these headphones were a great find - and i think they are perhaps the best purchase i've made in the last several years - seriously,1,"['headphones', 'great', 'find', 'think', 'perhaps', 'best', 'purchase', 'made', 'last', 'several', 'years', 'seriously']",headphones great find think perhaps best purchase made last several years seriously,headphones great find think perhaps best purchase made last several years seriously,headphones great find think perhaps best purchase made last several years seriously
63,buy a different phone - but not this,0,"['buy', 'different', 'phone']",buy different phone,buy different phone,buy different phone
64,you have to hold the phone at a particular angle for the other party to hear you clearly,0,"['hold', 'phone', 'particular', 'angle', 'party', 'hear', 'clearly']",hold phone particular angle party hear clearly,hold phone particular angle party hear clearly,hold phone particular angle party hear clearly
65,the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds,0,"['one', 'big', 'drawback', 'mp3', 'player', 'buttons', 'phone', 'front', 'cover', 'let', 'pause', 'skip', 'songs', 'lock', 'seconds']",one big drawback mp3 player buttons phone front cover let pause skip songs lock seconds,one big drawback mp3 player buttons phone front cover let pause skip songs lock seconds,one big drawback mp3 player buttons phone front cover let pause skip songs lock seconds
66,a week later after i activated it it suddenly died,0,"['week', 'later', 'activated', 'suddenly', 'died']",week later activated suddenly died,week later activated suddenly died,week later activated suddenly died
67,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,1,"['feels', 'comfortable', 'headsets', 'wear', 'glasses', 'gets', 'way', 'sometimes']",feels comfortable headsets wear glasses gets way sometimes,feels comfortable headsets wear glasses gets way sometimes,feels comfortable headsets wear glasses gets way sometimes
68,great for ipods too,1,"['great', 'ipods']",great ipods,great ipods,great ipods
69,this device is great in several situations1),1,"['device', 'great', 'several', 'situations1']",device great several situations1,device great several situations1,device great several situations1
70,mic doesn't work,0,"['mic', 'work']",mic work,mic work,mic work
71,even in my bmw 3 series which is fairly quiet i have trouble hearing what the other person is saying,0,"['even', 'bmw', '3', 'series', 'fairly', 'quiet', 'trouble', 'hearing', 'person', 'saying']",even bmw series fairly quiet trouble hearing person saying,even bmw series fairly quiet trouble hearing person saying,even bmw series fairly quiet trouble hearing person saying
72,great choice,1,"['great', 'choice']",great choice,great choice,great choice
73,nice docking station for home or work,1,"['nice', 'docking', 'station', 'home', 'work']",nice docking station home work,nice docking station home work,nice docking station home work
74,this is a beautiful phone,1,"['beautiful', 'phone']",beautiful phone,beautiful phone,beautiful phone
75,love this product,1,"['love', 'product']",love product,love product,love product
76,do not buy for d807wrongly advertised for d807,0,"['buy', 'd807wrongly', 'advertised', 'd807']",buy d807wrongly advertised d807,buy d807wrongly advertised d807,buy d807wrongly advertised d807
77,this is a great little item,1,"['great', 'little', 'item']",great little item,great little item,great little item
78,i love this phone  it is very handy and has a lot of features ,1,"['love', 'phone', 'handy', 'lot', 'features']",love phone handy lot features,love phone handy lot features,love phone handy lot features
79,i purchased this and within 2 days it was no longer working,0,"['purchased', 'within', '2', 'days', 'longer', 'working']",purchased within days longer working,purchased within days longer working,purchased within days longer working
80,i wear it everyday and it holds up very well,1,"['wear', 'everyday', 'holds', 'well']",wear everyday holds well,wear everyday holds well,wear everyday holds well
81,not a good bargain,0,"['good', 'bargain']",good bargain,good bargain,good bargain
82,well packaged arrived on time and works as intended,1,"['well', 'packaged', 'arrived', 'time', 'works', 'intended']",well packaged arrived time works intended,well packaged arrived time works intended,well packaged arrived time works intended
83,the battery runs down quickly,0,"['battery', 'runs', 'quickly']",battery runs quickly,battery runs quickly,battery runs quickly
84,this item worked great but it broke after 6 months of use,0,"['item', 'worked', 'great', 'broke', '6', 'months', 'use']",item worked great broke months use,item worked great broke months use,item worked great broke months use
85,the headsets are easy to use and everyone loves them,1,"['headsets', 'easy', 'use', 'everyone', 'loves']",headsets easy use everyone loves,headsets easy use everyone loves,headsets easy use everyone loves
86,this phone works great,1,"['phone', 'works', 'great']",phone works great,phone works great,phone works great
87,the construction of the headsets is poor,0,"['construction', 'headsets', 'poor']",construction headsets poor,construction headsets poor,construction headsets poor
88,product was excellent and works better than the verizon one and boy was it cheaper,1,"['product', 'excellent', 'works', 'better', 'verizon', 'one', 'boy', 'cheaper']",product excellent works better verizon one boy cheaper,product excellent works better verizon one boy cheaper,product excellent works better verizon one boy cheaper
89,the phone loads super,1,"['phone', 'loads', 'super']",phone loads super,phone loads super,phone loads super
90,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,0,"['product', 'costs', 'much', 'one', 'expect', 'work', 'far', 'better', 'greater', 'ease', 'thing']",product costs much one expect work far better greater ease thing,product costs much one expect work far better greater ease thing,product costs much one expect work far better greater ease thing
91,made very sturdy,1,"['made', 'sturdy']",made sturdy,made sturdy,made sturdy
92,worked great,1,"['worked', 'great']",worked great,worked great,worked great
93,the ear buds only play music in one ear,0,"['ear', 'buds', 'play', 'music', 'one', 'ear']",ear buds play music one ear,ear buds play music one ear,ear buds play music one ear
94,dont waste your money,0,"['dont', 'waste', 'money']",dont waste money,dont waste money,dont waste money
95,will order from them again,1,['order'],order,order,order
96,if you plan to use this in a car forget about it,0,"['plan', 'use', 'car', 'forget']",plan use car forget,plan use car forget,plan use car forget
97,i found this product to be waaay too big,0,"['found', 'product', 'waaay', 'big']",found product waaay big,found product waaay big,found product waaay big
98,best i've found so far  i've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using,1,"['best', 'found', 'far', 'tried', '2', 'bluetooths', 'one', 'best', 'quality', 'listener', 'well', 'ease', 'using']",best found far tried bluetooths one best quality listener well ease using,best found far tried bluetooths one best quality listener well ease using,best found far tried bluetooths one best quality listener well ease using
99,i'm very disappointed with my decision,0,"['disappointed', 'decision']",disappointed decision,disappointed decision,disappointed decision
100,integrated seamlessly with the motorola razr phone,1,"['integrated', 'seamlessly', 'motorola', 'razr', 'phone']",integrated seamlessly motorola razr phone,integrated seamlessly motorola razr phone,integrated seamlessly motorola razr phone
101,buyer beware you could flush money right down the toilet,0,"['buyer', 'beware', 'could', 'flush', 'money', 'right', 'toilet']",buyer beware could flush money right toilet,buyer beware could flush money right toilet,buyer beware could flush money right toilet
102,definitely a bargain,1,"['definitely', 'bargain']",definitely bargain,definitely bargain,definitely bargain
103,the price was very good and with the free shipping and all it was a good purchase,1,"['price', 'good', 'free', 'shipping', 'good', 'purchase']",price good free shipping good purchase,price good free shipping good purchase,price good free shipping good purchase
104,i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,0,"['received', 'supposedly', 'new', 'motorola', '375', 'apparently', 'match', 'phone', 'charger']",received supposedly new motorola 375 apparently match phone charger,received supposedly new motorola 375 apparently match phone charger,received supposedly new motorola 375 apparently match phone charger
105,pros-good camera - very nice pictures  also has cool styles like black and white and more,1,"['pros', 'good', 'camera', 'nice', 'pictures', 'also', 'cool', 'styles', 'like', 'black', 'white']",pros good camera nice pictures also cool styles like black white,pros good camera nice pictures also cool styles like black white,pros good camera nice pictures also cool styles like black white
106,that's a huge design flaw (unless i'm not using it correctly which i don't think is the case),0,"['huge', 'design', 'flaw', 'unless', 'using', 'correctly', 'think', 'case']",huge design flaw unless using correctly think case,huge design flaw unless using correctly think case,huge design flaw unless using correctly think case
107,i love my 350 headset my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,1,"['love', '350', 'headset', 'jabra350', 'bluetooth', 'headset', 'great', 'reception', 'good', 'ear', 'piece', 'comfortable', 'fit']",love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit
108,the camera although rated at an impressive 13 megapixels renders images that fall well below expectations of such a relatively high resolution,0,"['camera', 'although', 'rated', 'impressive', '13', 'megapixels', 'renders', 'images', 'fall', 'well', 'expectations', 'relatively', 'high', 'resolution']",camera although rated impressive megapixels renders images fall well expectations relatively high resolution,camera although rated impressive megapixels renders images fall well expectations relatively high resolution,camera although rated impressive megapixels renders images fall well expectations relatively high resolution
109,i purcashed this for the car charger and it does not work,0,"['purcashed', 'car', 'charger', 'work']",purcashed car charger work,purcashed car charger work,purcashed car charger work
110,sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me 2,1,"['sound', 'quality', 'end', 'excellent', 'use', 'headset', 'call', 'wife', 'ask', 'wife', 'use', 'headset', 'call', '2']",sound quality end excellent use headset call wife ask wife use headset call,sound quality end excellent use headset call wife ask wife use headset call,sound quality end excellent use headset call wife ask wife use headset call
111,this phone is slim and light and the display is beautiful,1,"['phone', 'slim', 'light', 'display', 'beautiful']",phone slim light display beautiful,phone slim light display beautiful,phone slim light display beautiful
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,1,"['little', 'geeky', 'think', 'thats', 'sex', 'toast', 'rocks', 'oozes', 'sex', 'right', 'battery', 'embedded', 'sleek', 'stylish', 'leather', 'case']",little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case
113,great product fast shipping,1,"['great', 'product', 'fast', 'shipping']",great product fast shipping,great product fast shipping,great product fast shipping
114,absolutely great,1,"['absolutely', 'great']",absolutely great,absolutely great,absolutely great
115,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,1,"['keyboard', 'nice', 'compromise', 'full', 'qwerty', 'basic', 'cell', 'phone', 'number', 'keypad']",keyboard nice compromise full qwerty basic cell phone number keypad,keyboard nice compromise full qwerty basic cell phone number keypad,keyboard nice compromise full qwerty basic cell phone number keypad
116,i got this phone around the end of may and i'm completely unhappy with it,0,"['got', 'phone', 'around', 'end', 'may', 'completely', 'unhappy']",got phone around end may completely unhappy,got phone around end may completely unhappy,got phone around end may completely unhappy
117,it is very comfortable on the ear,1,"['comfortable', 'ear']",comfortable ear,comfortable ear,comfortable ear
118,it has been a winner for us,1,"['winner', 'us']",winner,winner,winner
119,)setup couldn't have been simpler,1,"['setup', 'simpler']",setup simpler,setup simpler,setup simpler
120,i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably,1,"['tried', 'several', 'different', 'earpieces', 'cell', 'phone', 'jabra', 'one', 'first', 'one', 'found', 'fits', 'ear', 'comfortably']",tried several different earpieces cell phone jabra one first one found fits ear comfortably,tried several different earpieces cell phone jabra one first one found fits ear comfortably,tried several different earpieces cell phone jabra one first one found fits ear comfortably
121,could not get strong enough signal,0,"['could', 'get', 'strong', 'enough', 'signal']",could get strong enough signal,could get strong enough signal,could get strong enough signal
122,iam very pleased with my purchase,1,"['iam', 'pleased', 'purchase']",iam pleased purchase,iam pleased purchase,iam pleased purchase
123,bad quality,0,"['bad', 'quality']",bad quality,bad quality,bad quality
124,gets the job done,1,"['gets', 'job', 'done']",gets job done,gets job done,gets job done
125,great audio,1,"['great', 'audio']",great audio,great audio,great audio
126,basically the service was very bad,0,"['basically', 'service', 'bad']",basically service bad,basically service bad,basically service bad
127,it did not work in my cell phone plug i am very up set with the charger,0,"['work', 'cell', 'phone', 'plug', 'set', 'charger']",work cell phone plug set charger,work cell phone plug set charger,work cell phone plug set charger
128,i've only had my bluetooth for a few weeks but i really like it,1,"['bluetooth', 'weeks', 'really', 'like']",bluetooth weeks really like,bluetooth weeks really like,bluetooth weeks really like
129,the bt headset was such a disapoinment,0,"['bt', 'headset', 'disapoinment']",headset disapoinment,headset disapoinment,headset disapoinment
130,it is so small and you don't even realize that it is there after a while of getting used to it,1,"['small', 'even', 'realize', 'getting', 'used']",small even realize getting used,small even realize getting used,small even realize getting used
131,the accompanied software is almost brilliant,1,"['accompanied', 'software', 'almost', 'brilliant']",accompanied software almost brilliant,accompanied software almost brilliant,accompanied software almost brilliant
132,headset works great & was packaged nicely to avoid any damage,1,"['headset', 'works', 'great', 'packaged', 'nicely', 'avoid', 'damage']",headset works great packaged nicely avoid damage,headset works great packaged nicely avoid damage,headset works great packaged nicely avoid damage
133,i definitly recommend,1,"['definitly', 'recommend']",definitly recommend,definitly recommend,definitly recommend
134,buyer--be very careful,0,"['buyer', 'careful']",buyer careful,buyer careful,buyer careful
135,the majority of the logitech earbud headsets failed,0,"['majority', 'logitech', 'earbud', 'headsets', 'failed']",majority logitech earbud headsets failed,majority logitech earbud headsets failed,majority logitech earbud headsets failed
136,very good stuff for the price,1,"['good', 'stuff', 'price']",good stuff price,good stuff price,good stuff price
137,my headset works just peachy-keen,1,"['headset', 'works', 'peachy', 'keen']",headset works peachy keen,headset works peachy keen,headset works peachy keen
138,in my house i was getting dropped coverage upstairs and no coverage in my basement,0,"['house', 'getting', 'dropped', 'coverage', 'upstairs', 'coverage', 'basement']",house getting dropped coverage upstairs coverage basement,house getting dropped coverage upstairs coverage basement,house getting dropped coverage upstairs coverage basement
139,voice recognition is tremendous,1,"['voice', 'recognition', 'tremendous']",voice recognition tremendous,voice recognition tremendous,voice recognition tremendous
140,what a waste,0,['waste'],waste,waste,waste
141,during several different 2 minute calls i experienced 5 drops and it was in an area that had 5 bars,0,"['several', 'different', '2', 'minute', 'calls', 'experienced', '5', 'drops', 'area', '5', 'bars']",several different minute calls experienced drops area bars,several different minute calls experienced drops area bars,several different minute calls experienced drops area bars
142,i was not happy with this item,0,"['happy', 'item']",happy item,happy item,happy item
143,very disappointed,0,['disappointed'],disappointed,disappointed,disappointed
144,the phone takes forever to charge like 2 to 5 hours literally,0,"['phone', 'takes', 'forever', 'charge', 'like', '2', '5', 'hours', 'literally']",phone takes forever charge like hours literally,phone takes forever charge like hours literally,phone takes forever charge like hours literally
145,i got this phone on reccomendation from a relative and i'm glad i did,1,"['got', 'phone', 'reccomendation', 'relative', 'glad']",got phone reccomendation relative glad,got phone reccomendation relative glad,got phone reccomendation relative glad
146,what a waste of time,0,"['waste', 'time']",waste time,waste time,waste time
147,its reception is very very poor,0,"['reception', 'poor']",reception poor,reception poor,reception poor
148,items stated as included from the description are not included,0,"['items', 'stated', 'included', 'description', 'included']",items stated included description included,items stated included description included,items stated included description included
149,after 3 months screen just went black all of a sudden,0,"['3', 'months', 'screen', 'went', 'black', 'sudden']",months screen went black sudden,months screen went black sudden,months screen went black sudden
150,i was hoping for more,0,['hoping'],hoping,hoping,hoping
151,audio quality is poor very poor,0,"['audio', 'quality', 'poor', 'poor']",audio quality poor poor,audio quality poor poor,audio quality poor poor
152,i had absolutely no problem with this headset linking to my 8530 blackberry curve,1,"['absolutely', 'problem', 'headset', 'linking', '8530', 'blackberry', 'curve']",absolutely problem headset linking 8530 blackberry curve,absolutely problem headset linking 8530 blackberry curve,absolutely problem headset linking 8530 blackberry curve
153,i know that sounds funny but to me it seemed like sketchy technology that wouldn't work wellwell this one works great,1,"['know', 'sounds', 'funny', 'seemed', 'like', 'sketchy', 'technology', 'work', 'wellwell', 'one', 'works', 'great']",know sounds funny seemed like sketchy technology work wellwell one works great,know sounds funny seemed like sketchy technology work wellwell one works great,know sounds funny seemed like sketchy technology work wellwell one works great
154,i've bought $5 wired headphones that sound better than these,0,"['bought', '5', 'wired', 'headphones', 'sound', 'better']",bought wired headphones sound better,bought wired headphones sound better,bought wired headphones sound better
155,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,1,"['phone', 'fast', 'sending', 'kind', 'messages', 'web', 'browsing', 'significantly', 'faster', 'previous', 'phones', 'used']",phone fast sending kind messages web browsing significantly faster previous phones used,phone fast sending kind messages web browsing significantly faster previous phones used,phone fast sending kind messages web browsing significantly faster previous phones used
156,nice quality build unlike some cheap s*** out there,1,"['nice', 'quality', 'build', 'unlike', 'cheap']",nice quality build unlike cheap,nice quality build unlike cheap,nice quality build unlike cheap
157,this item is fantastic and works perfectly,1,"['item', 'fantastic', 'works', 'perfectly']",item fantastic works perfectly,item fantastic works perfectly,item fantastic works perfectly
158,and i just love the colors,1,"['love', 'colors']",love colors,love colors,love colors
159,w810i is just superb,1,"['w810i', 'superb']",w810i superb,w810i superb,w810i superb
160,all i can do is whine on the internet so here it goesthe more i use the thing the less i like it,0,"['whine', 'internet', 'goesthe', 'use', 'thing', 'less', 'like']",whine internet goesthe use thing less like,whine internet goesthe use thing less like,whine internet goesthe use thing less like
161,great charger,1,"['great', 'charger']",great charger,great charger,great charger
162,this is essentially a communications tool that does not communicate,0,"['essentially', 'communications', 'tool', 'communicate']",essentially communications tool communicate,essentially communications tool communicate,essentially communications tool communicate
163,works like a charm it work the same as the one i got with the phone,1,"['works', 'like', 'charm', 'work', 'one', 'got', 'phone']",works like charm work one got phone,works like charm work one got phone,works like charm work one got phone
164,i still maintain that monkeys shouldn't make headphones we just obviously don't share enough dna to copy the design over to humans,0,"['still', 'maintain', 'monkeys', 'make', 'headphones', 'obviously', 'share', 'enough', 'dna', 'copy', 'design', 'humans']",still maintain monkeys make headphones obviously share enough dna copy design humans,still maintain monkeys make headphones obviously share enough dna copy design humans,still maintain monkeys make headphones obviously share enough dna copy design humans
165,great value,1,"['great', 'value']",great value,great value,great value
166,doesn't work at all i bougth it for my l7c and its not working,0,"['work', 'bougth', 'l7c', 'working']",work bougth l7c working,work bougth l7c working,work bougth l7c working
167,the look of it is very sharp and the screen is nice and clear with great graphics,1,"['look', 'sharp', 'screen', 'nice', 'clear', 'great', 'graphics']",look sharp screen nice clear great graphics,look sharp screen nice clear great graphics,look sharp screen nice clear great graphics
168,doesn't last long,0,"['last', 'long']",last long,last long,last long
169,one thing i hate is the mode set button at the side,0,"['one', 'thing', 'hate', 'mode', 'set', 'button', 'side']",one thing hate mode set button side,one thing hate mode set button side,one thing hate mode set button side
170,excellent service,1,"['excellent', 'service']",excellent service,excellent service,excellent service
